Security,Trend,Last Price,Demand Qty,Demand Price,Supply Price,Supply Qty,Last Qty,High,Low
ARM,,0.00,0,0.00,0.00,0,0,0.00,0.00
BAMB,,30.40,200,29.00,0.00,0,7500,30.40,30.00
BAT,,455.00,0,0.00,0.00,0,700,455.00,445.00
BBK,,12.50,14000,12.25,0.00,0,100,12.80,12.20
BERG,,38.00,2000,35.15,0.00,0,100,38.00,38.00
BKG,,31.00,0,0.00,0.00,0,0,0.00,0.00
BOC,,65.50,100,65.50,0.00,0,0,0.00,0.00
BRIT,,5.40,0,0.00,5.40,19900,100,5.50,5.30
CABL,,1.00,0,0.00,0.00,0,100,1.10,1.00
CARB,,12.30,88200,12.00,12.35,5000,500,12.30,12.30
CFC,,112.00,0,0.00,0.00,0,1500,112.00,110.00
CFCI,,4.95,0,0.00,0.00,0,100,4.95,4.70
CG,,45.00,0,0.00,0.00,0,0,0.00,0.00
CIC,,1.92,0,0.00,1.92,13400,200,1.95,1.87
COOP,,12.80,500,12.20,0.00,0,100,12.80,12.30
DCON,,0.00,0,0.00,0.00,0,0,0.00,0.00
DTK,,51.00,5000,50.50,58.00,500,5000,52.00,51.00
EABL,,170.00,0,0.00,172.00,20000,200,170.00,167.00
EGAD,,11.30,0,0.00,11.95,900,0,0.00,0.00
EQT,,45.90,20000,45.50,46.50,22000,10000,46.00,45.60
EVRD,,0.70,0,0.00,0.70,4800,700,0.70,0.66
FAHR,,6.12,1000,6.22,6.70,123400,800,6.60,6.10
FIRE,,2.35,0,0.00,0.00,0,200,2.35,2.19
FTGH,,1.08,0,0.00,0.00,0,1000,1.08,1.00
GLD,,2165.00,0,0.00,0.00,0,0,0.00,0.00
HAFR,,0.30,0,0.00,0.00,0,12700,0.35,0.30
HBE,,4.66,0,0.00,0.00,0,0,0.00,0.00
HFCK,,3.12,62300,3.10,3.20,6200,100,3.15,3.12
I&M,,16.95,200,16.95,17.30,20000,600,17.30,16.95
ICDC,,8.40,13200,8.08,8.80,1100,1200,8.40,8.30
JUB,,199.50,300,191.25,200.00,2000,100,199.50,191.25
KAPC,,109.00,1000,98.25,0.00,0,0,0.00,0.00
KCB,,38.30,25000,38.30,38.50,22300,500,38.45,38.25
KEGN,,3.10,100000,2.85,0.00,0,1800,3.23,3.07
KNRE,,1.77,19000,1.76,1.88,35800,1500,1.89,1.76
KPLC,,1.54,1400,1.50,0.00,0,399000,1.54,1.49
KQ,,0.00,0,0.00,0.00,0,0,0.00,0.00
KUKZ,,406.00,500,386.00,420.00,1800,100,420.00,406.00
KURV,,1500.00,0,0.00,0.00,0,0,0.00,0.00
LIMT,,420.00,0,0.00,0.00,0,3000,420.00,420.00
LKL,,3.26,0,0.00,0.00,0,700,3.26,3.00
MSC,,0.00,0,0.00,0.00,0,0,0.00,0.00
NBK,,0.00,0,0.00,0.00,0,0,0.00,0.00
NBV,,4.00,0,0.00,4.00,2000,300,4.22,3.81
NIC,,38.10,0,0.00,40.00,67100,200,38.75,38.10
NMG,,15.60,0,0.00,16.50,13400,1700,16.50,15.60
NSE,,6.70,2000,6.68,0.00,0,100,6.90,6.70
OCH,,2.50,0,0.00,0.00,0,2000,2.90,2.50
ORCH,,12.50,0,0.00,0.00,0,0,0.00,0.00
PAFR,,8.34,0,0.00,0.00,0,1000,8.34,8.30
PORT,,6.94,0,0.00,0.00,0,100,6.94,6.94
SASN,,21.45,0,0.00,21.45,2400,400,21.45,21.45
SCAN,,3.00,0,0.00,3.17,8000,28300,3.05,2.95
SCBK,,155.00,11300,153.00,0.00,0,5000,155.00,154.00
SCOM,,22.50,2200,22.00,23.00,4700,15000,23.65,21.80
SGL,,9.96,0,0.00,0.00,0,0,0.00,0.00
TCL,,1.30,0,0.00,0.00,0,1400,1.30,1.21
TOTL,,23.50,0,0.00,23.95,400,0,0.00,0.00
TPS,,12.00,3000,12.00,13.20,3000,2000,12.00,12.00
UCHM,,0.22,0,0.00,0.25,1000,800,0.22,0.21
UMME,,8.50,0,0.00,8.70,2300,100,8.50,8.50
UNGA,,31.00,0,0.00,0.00,0,0,0.00,0.00
WTK,,155.00,0,0.00,0.00,0,100,155.00,155.00
XPRS,,5.10,0,0.00,0.00,0,500,5.10,4.90
